circoscrizione,num_uni,nome_collegio,regione,macro_area,vincitore_coal,vincitore_lista,vincitore_pct,secondo_coal,secondo_pct,margine_pp,pct_CDX,pct_CSX,pct_M5S,pct_CENTRO,fonte
LIGURIA,1,LIGURIA - U01,Liguria,Nord-Ovest,CDX,,53.1,CSX,39.3,13.8,53.1,39.3,3.6,0.2,eligendo_opendata_regionali_20241027
LIGURIA,2,LIGURIA - U02,Liguria,Nord-Ovest,CSX,,47.8,CDX,42.6,5.2,42.6,47.8,5.1,0.2,eligendo_opendata_regionali_20241027
LIGURIA,3,LIGURIA - U03,Liguria,Nord-Ovest,CSX,,48.0,CDX,42.2,5.8,42.2,48.0,5.4,0.2,eligendo_opendata_regionali_20241027
LIGURIA,4,LIGURIA - U04,Liguria,Nord-Ovest,CDX,,48.8,CSX,41.7,7.1,48.8,41.7,4.2,0.7,eligendo_opendata_regionali_20241027
