circoscrizione,num_uni,nome_collegio,regione,macro_area,vincitore_coal,vincitore_lista,vincitore_pct,secondo_coal,secondo_pct,margine_pp,pct_CDX,pct_CSX,pct_M5S,pct_CENTRO,fonte
UMBRIA,1,UMBRIA - U01,Umbria,Centro,CSX,,44.3,CDX,36.0,8.2,36.0,44.3,4.8,5.7,eligendo_opendata_regionali_20241117
UMBRIA,2,UMBRIA - U02,Umbria,Centro,CSX,,44.5,CDX,37.6,6.9,37.6,44.5,4.6,3.1,eligendo_opendata_regionali_20241117
